,Artist,Song,Lyrics,Genre
0,Tim McGraw,http://www.songlyrics.com/tim-mcgraw/my-best-friend-lyrics/,"I never had no one that I could count on
I've been let down so many times
I was tired of hurtin', so tired of searchin'
'Til you walked into my life

It was a feelin'
I'd never known
And for the first time
I didn't feel alone

You're more than a lover
There could never be another
To make me feel the way you do
Oh, we just get closer
I fall in love all over
Every time I look at you

I don't know where I'd be
Without you here with me
Life with you makes perfect sense
You're my best friend
You're my best friend, oh yeah

You stand by me and you believe in me
Like nobody ever has
When my world goes crazy, you're right there to save me
You make me see how much I have

And I still tremble
When we touch
And oh, the look in your eyes
When we make love

You're more than a lover
There could never be another
To make me feel the way you do
Oh, we just get closer
I fall in love all over
Every time I look at you

And I don't know where I'd be
Without you here with me
Life with you makes perfect sense
You're my best friend
You're my best friend

You're more than a lover
There could never be another
To make me feel the way you do
Oh, we just get closer
I fall in love all over
Every time I look at you

And I don't know where I'd be
Without you here with me
Life with you makes perfect sense
You're my best friend
You're my best friend, oh yeah
You're my best friend
You're my best friend",Country
1,Tim McGraw,http://www.songlyrics.com/tim-mcgraw/southern-voice-lyrics/,"Hank Williams sang it, Number 3 drove it
Chuck Berry twanged it, Will Faulkner wrote it
Aretha Franklin sold it, Dolly Parton graced it
Rosa Parks rode it, Scarlett O. chased it

Smooth as the hickory wind
That blows from Memphis down to Apalachicola
It's, ""Hi y'all, did ya eat well?
Come on in, I'm sure glad to know ya""

Don't let this old gold cross
And this Allman Brothers t-shirt throw ya
It's cicadas making noise
With the Southern voice

Hank Aaron smacked it, Michael Jordan dunked it
Pocahontas tracked it, Jack Daniels drunk it
Tom Petty rocked it, Dr. King paved it
Bear Bryant won it, Billy Graham saved it

Smooth as the hickory wind
That blows from Memphis down to Apalachicola
It's, 'Hi y'all, did ya eat well?
Come on in, I'm sure glad to know ya""

Don't let this old gold cross
And this Crimson Tide t-shirt throw ya
It's cicadas making noise
With the Southern voice

Jesus is my friend, America is my home
Sweet iced tea and Jerry Lee
Daytona Beach, that's what gets to me
I can feel it in my bones

Smooth as the hickory wind
That blows from Memphis down to Apalachicola
It's, 'Hi y'all, did ya eat well?
Come on in, I'm sure glad to know ya""

Don't let this old gold cross
And this Charlie Daniels t-shirt throw ya
We're just boys making noise
With the Southern voice, yeah, yeah, yeah, yeah

Southern voice
I got a Southern voice
Southern voice",Country
2,Tim McGraw,http://www.songlyrics.com/tim-mcgraw/live-like-you-were-dying-lyrics/,"He said, ""I was in my early forties with a lot of life before me
When a moment came that stopped me on a dime
I spent most of the next days, looking at the x-rays
Talking 'bout the options and talking 'bout sweet times""

I asked him when it sank in
That this might really be the real end
""How's it hit 'cha when you get that kind of news?
Man, what'd ya do?"" He said

""I went skydiving, I went Rocky Mountain climbing
I went two point seven seconds on a bull named Fu Man Chu
And I loved deeper, and I spoke sweeter
And I gave forgiveness I'd been denyin'""

And he said, ""Someday I hope you get the chance
To live like you were dyin'""

He said, ""I was finally the husband that most the time I wasn't
And I became a friend, a friend would like to have""
And all of a sudden goin' fishin' wasn't such an imposition
And I went three times that year I lost my dad""

""Well I, I finally read the good book
And I took a good, long hard look
At what I'd do if I could do it all again
And then""

""I went skydiving, I went Rocky Mountain climbing
I went two point seven seconds on a bull named Fu Man Chu
And I loved deeper, and I spoke sweeter
And I gave forgiveness I'd been denyin'""

And he said, ""Someday I hope you get the chance
To live like you were dyin'""

""Skydiving, I went Rocky Mountain climbing
I went two point seven seconds on a bull named Fu Man Chu
And I loved deeper, and I spoke sweeter
And I watched an eagle as it was flyin'""

And he said, ""Someday I hope you get the chance
To live like you were dyin'""

To live like you were dyin'
To live like you were dyin'
To live like you were dyin'
To live like you were dyin'",Country
3,Tim McGraw,http://www.songlyrics.com/tim-mcgraw/my-next-thirty-years-lyrics/,"I think I'll take a moment, celebrate my age
The ending of an era and the turning of a page
Now it's time to focus in on where I go from here
Lord, have mercy on my next thirty years

Hey, my next thirty years, I'm gonna have some fun
Try to forget about all the crazy things I've done
Maybe now I've conquered all my adolescent fears
And I'll do it better in my next thirty years

My next thirty years, I'm gonna settle all the scores
Cry a little less, laugh a little more
Find a world of happiness without the hate and fear
Figure out just what I'm doing here in my next thirty years

Oh, my next thirty years, I'm gonna watch my weight
Eat a few more salads and not stay up so late
Drink a little lemonade and not so many beers
Maybe I'll remember my next thirty years

My next thirty years will be the best years of my life
Raise a little family and hang out with my wife
Spend precious moments with the ones that I hold dear
Make up for lost time here in my next thirty years
In my next thirty years",Country
4,Tim McGraw,http://www.songlyrics.com/tim-mcgraw/my-little-girl-lyrics/,"Tim McGraw
Miscellaneous
My Little Girl
Verse 1:
Gotta hold on easy as I let you go.
Gonna tell you how much I love you, though you think you already know.
I remember I thought you looked like an angel wrapped in pink so soft and warm.
You've had me wrapped around your finger since the day you were born.

Chorus:
Beautiful baby from the outside in.
Chase your dreams but always know the road that'll lead you home again.
Go on, take on this whole world.
But to me you know you'll always be, my little girl.

Verse 2:
When you were in trouble that crooked little smile could melt my heart of stone.
Now look at you, I've turned around and you've almost grown.
Sometimes you're asleep I whisper ""I Love You!"" in the moonlight at your door.
As I walk away, I hear you say, ""Daddy Love You More!"".

(Repeat Chorus)

Verse 3:
Someday, some boy will come and ask me for your hand.
But I won't say ""yes"" to him unless I know, he's the half
that makes you whole, he has a poet's soul, and the heart of a man's man.
I know he'll say that he's in love.
But between you and me. He won't be good enough!

(Repeat Chorus)",Country
5,Tim McGraw,http://www.songlyrics.com/tim-mcgraw/let-s-make-love-with-tim-mcgraw-lyrics/,"Tim McGraw
Miscellaneous
Let's Make Love (with Tim McGraw)



(Chris Lindsey, Marv Green, Bill Luther, Aimee Mayo)

Baby I've been drifting away
Dreaming all day
Of holidng you
Touching you
The only thing I want to do
Is be with you
As close to you
As I can be

Let's make love
All night long
Until all our strength is gone
Hold on tight
Just let go
I want to feel you in my soul
Until the sun comes up
Let's make love
Oh, baby

Do you know what you do to me
Everything inside of me
Is wanting you
And needing you
I'm so in love with you
Look in my eyes
Let’s get lost tonight
In each other

Let's make love
All night long
Until all our strength is gone
Hold on tight
Just let go
I want to feel you in my soul
Until the sun comes up
Let's make love

Let's make love
All night long
Until all our strength is gone
Hold on tight
Just let go
I want to feel you in my soul
Until the sun comes up
Oh, until the sun comes up
Let's make love

Oh baby, let's make love
All night long
All night long
Let’s make love",Country
6,Tim McGraw,http://www.songlyrics.com/tim-mcgraw/just-to-see-you-smile-lyrics/,"You always had an eye for things that glittered
But I was far from being made of gold
I don't know how but I scraped up the money
I just never could quite tell you no

Just like when you were leaving Amarillo
Takin' that new job in Tennessee
And I quit mine so we could be together
I can't forget the way you looked at me

Just to see you smile
I'd do anything that you wanted me to
When all is said and done I'd never count the cost
It's worth all that's lost, just to see you smile

When you said time was all you really needed
I walked away and let you have your space
Only leavin' didn't hurt me near as badly
As the tears I saw rollin' down your face

And yesterday I knew just what you wanted
When you came walkin' up to me with him
So I told you that I was happy for you
And given the chance I'd lie again

Just to see you smile
I'd do anything that you wanted me to
When all is said and done I'd never count the cost
It's worth all that's lost, just to see you smile

Just to see you smile
I'd do anything that you wanted me to
When all is said and done I'd never count the cost
It's worth all that's lost, just to see you smile",Country
7,Tim McGraw,http://www.songlyrics.com/tim-mcgraw/whiskey-and-you-lyrics/,"There's a bottle on the dresser by your ring
And its empty so right now I don't feel a thing
I'll be hurtin' when I wake up on the floor and I'll be over it by noon
And that's the difference between the whiskey and you

Come tomorrow, I can walk into a store
It ain't a problem, yeah, they'll always sell me more
But your forgiveness is something I can't buy, ain't a thing that I can do
And that's the difference between the whiskey and you

One's a devil and one keeps driving me insane
At times I wonder if they ain't both the same
The one's a liar that helps hide me from my pain
One's a long, hard, bitter truth
And that's the difference between the whiskey and you

I've got a problem but it ain't like what you think
I drink 'cause I'm lonesome and I'm lonesome 'cause I drink
If I don't break down and bring it on myself, it will hit right out of the blue
And that's the difference between the whiskey and you

One's a devil and one keeps driving me insane
At times I wonder if they ain't both the same
One's a liar that helps hide me from my pain
And one's a long, hard, bitter truth
And that's the difference between the whiskey and you
Yeah that's the difference between the whiskey and you",Country
8,Tim McGraw,http://www.songlyrics.com/tim-mcgraw/seventeen-lyrics/,"Backseat of her daddy's car
I was tryin' not to go too far
Kept thinkin' 'bout the words
The preacher man said

Lightnin' flashed across the sky
I saw love in a young girl's eyes
And that's a look you never forget

Seventeen, only comes once in a lifetime
Don't it just fly by wild and free
Goin' anyway the wind blew baby

Seventeen, livin' on crazy dreams
Rock and Roll and faded blue jeans
And standin' on the edge of everythin'
Seventeen

Legs hangin' off the Bayou Bridge
Feedin' fish potato chips
And talkin' about the mysteries
Of the universe

Yeah, the world was somewhere else
We had the summer all to ourselves
And the stars went off like fireworks

Seventeen, only comes once in a lifetime
Don't it just fly by wild and free
Goin' anyway the wind blew baby

Seventeen, livin' on crazy dreams
Rock and Roll and faded blue jeans
And standin' on the edge of everythin'
Seventeen

Seventeen, only comes once in a lifetime
Well, don't it just fly by wild and free
Goin' anyway the wind blew baby

Seventeen, livin' on crazy dreams
Rock and Roll and faded blue jeans
And standin' on the edge of everythin'
Seventeen

Yeah, seventeen
Sweet seventeen

Seventeen
Seventeen",Country
9,Tim McGraw,http://www.songlyrics.com/tim-mcgraw/i-need-you-with-faith-hill-lyrics/,"I wanna drink that shot of whiskey
I wanna smoke that cigarette
I wanna smell that sweet addiction on my breath

I wanna ride across West Virginia
In the back seat of a Cadillac
You know some cowboys like me go out like that

So I need you like a needle needs a vein
Like my uncle Joe in Oklahoma needs rain
I need you like a lighthouse on a coast
Like the Father and the Son need the Holy Ghost
I need you

I wanna get lost in some corner booth
Cantina Mexico
I wanna dance to the static of an AM radio

I wanna wrap the moon around us
Lay beside you skin on skin
Make love 'til the sun comes up
'Til the sun goes down again

'Cause I need you like a needle needs a vein
Like my uncle Joe in Oklahoma needs the rain
I need you like a lighthouse on a coast
Like the Father and the Son need the Holy Ghost
I need you, oh, I need you

I wanna drink that shot of whiskey
I wanna smoke that cigarette
You know some cowboys like me go out like that
So I need you, oh, I need you
I need you, I need you, I need you, I need you

Oh, I need you, I need you
I need you, I need you
I need you, I need you, I need you, too",Country
