,Artist,Song,Lyrics,Genre
0,Stevie Wonder,http://www.songlyrics.com/stevie-wonder/as-lyrics/,"As around the sun the earth knows she's revolving
And the rosebuds know to bloom in early May
Just as hate knows love's the cure
You can rest your mind assure
That I'll be loving you always

As now can't reveal the mystery of tomorrow
But in passing will grow older every day
Just as all that's born is new
You know what I say is true
That I'll be loving you always

Until the rainbow burns the stars out in the sky
(Always)
Until the ocean covers every mountain high
(Always)
Until the dolphin flies and parrots live at sea
(Always)
Until we dream of life and life becomes a dream

Did you know that true love asks for nothing?
Her acceptance is the way we pay
Did you know that life has given love a guarantee?
To last through forever and another day

Just as time knew to move on since the beginning
And the seasons know exactly when to change
Just as kindness knows no shame
Know through all your joy and pain
That I'll be loving you always

As today I know I'm living but tommorow
Could make me the past but that I mustn't fear
For I'll know deep in my mind
The love of me I've left behind
'Cause I'll be loving you always

Until the day is night and night becomes the day
(Always)
Until the trees and seas just up and fly away
(Always)
Until the day that eight times eight times eight is four
(Always)
Until the day that is the day that are no more
(Did you know you're loved by somebody?)


Until the day the earth starts turnin' right to left
(Always)
Until the earth just for the sun denies itself
(I'll be lovin' you forever)
Until dear mother nature says her work is through
(Always)
Until the day that you are me and I am you
(Always)
Until the rainbow burns the stars out in the sky
Until the ocean covers every mountain high
(Always)

We all know sometimes life's hates and troubles
Can make you wish you were born in another time and space
But you can bet your lifetimes that and twice it's double
That God knew exactly where he wanted you to be placed


So make sure when you say you're in it, but not of it
You're not helpin' to make this earth a place sometimes called Hell
Change your words into truths and then change that truth into love
And maybe our children's grandchildren
And their great grandchildren will tell

(I'll be loving you until the rainbow burns the stars out in the sky)
Until the rainbow burns the stars out in the sky
(Loving you)
Until the ocean covers every mountain high
(Loving you)
Until the dolphin flies and parrots live at sea
(Loving you)
Until we dream of life and life becomes a dream

(Be loving you)
Until the day is night and night becomes the day
(Loving you)
Until the trees and seas just up and fly away
(Loving you)
Until the day that eight times eight times eight is four
(Loving you)
Until the day that is the day that are no more
(Loving you)
Until the day the earth starts turnin' right to left

(I'll be loving you)
Until the earth just for the sun denies itself
(Be loving you)
Until dear mother nature says her work is through
(Be loving you)
Until the day that you are me and I am you
(Now ain't I loving you?)
Until the rainbow burns the stars out in the sky

(Ain't I loving you?)
Until the ocean severs every mountain high
(I've got to say always)
Until the dolphin flies and parrots live at sea
(Always)
Until we dream of life and life becomes a dream

(Always)
Until the day is night and night becomes the day
(Always)
Until the trees and seas just up and fly away
(Always)
Until the day that eight times eight times eight is four
Until the day that is the days that are no more
(Always)
Until the day the earth starts turnin' right to left
Until the earth just for the sun denies itself

(Always)
Until dear mother nature says her work is through
Until the day that you are me and I am you
Until the rainbow burns the stars out in the sky
Until the ocean severs every mountain high
Until the dolphin flies and parrots live at sea
Until we dream of life and life becomes a dream

Until the day is night and night becomes the day
Until the trees and seas just up and fly away
Until the day that eight times eight times eight is four
Until the day that is the day that are no more
Until the day the earth starts turnin' right to left
Until the earth just for the sun denies itself
Until dear mother nature says her work is through
Until the day that you are me and I am you",Soul/R&B
1,Stevie Wonder,http://www.songlyrics.com/stevie-wonder/i-just-called-to-say-i-love-you-lyrics/,"No new years's day to celebrate
No chocolate covered candy hearts to give away
No first of spring, no song to sing
In fact here's just another ordinary day

No April rain, no flowers bloom
No wedding Saturday within the month of June
But what it is, is something true
Made up of these three words that I must say to you

I just called to say I love you
I just called to say how much I care
I just called to say I love you
And I mean it from the bottom of my heart

No summer's high, no warm July
No harvest moon to light one tender August night
No autumn breeze, no falling leaves
Not even time for birds to fly to southern skies

No Libra sun, no halloween
No giving thanks to all the Christmas joy you bring
But what it is, though old so new
To fill your heart like no three words could ever do

I just called to say I love you
I just called to say how much I care
I just called to say I love you
And I mean it from the bottom of my heart

I just called to say I love you
I just called to say how much I care
I just called to say I love you
And I mean it from the bottom of my heart

Of my heart
Of my heart",Soul/R&B
2,Stevie Wonder,http://www.songlyrics.com/stevie-wonder/happy-birthday-lyrics/,"You know it doesn't make much sense
There ought to be a law against
Anyone who takes offense
At a day in your celebration

'Cause we all know in our minds
That there ought to be a time
That we can set aside
To show just how much we love you

And I'm sure you would agree
It couldn't fit more perfectly
Than to have a world party
On the day you came to be

Happy birthday to you
Happy birthday to you
Happy birthday
Happy birthday to you
Happy birthday to you
Happy birthday

I just never understood
How a man who died for good
Could not have a day that would
Be set aside for his recognition

'Cause it should never be
Just 'cause some cannot see
The dream as clear as he
That they should make it become an illusion

And we all know everything
That he stood for time will bring
For in peace our hearts will sing
Thanks to Martin Luther King

Happy birthday to you
Happy birthday to you
Happy birthday
Happy birthday to you
Happy birthday to you
Happy birthday

Why has there never been a holiday, yeah
Where peace is celebrated
All throughout the world

The time is overdue
For people like me and you
Who know the way to truth
Is love and unity to all God's children

It should never be a great event
And the whole day should be spent
In full remembrance
Of those who lived and died for the oneness of all people

So let us all begin
We know that love can win
Let it out don't hold it in
Sing it loud as you can

Happy birthday to you
Happy birthday to you
Happy birthday
Happy birthday to you
Happy birthday to you
Happy birthday

Happy birthday to you
Happy birthday to you
Happy birthday
Happy birthday to you
Happy birthday to you
Happy birthday

Happy birthday
Happy birthday
Happy birthday
Ooh yeah
Happy birthday
Happy birthday
Happy birthday

We know the key to unify all people
Is in the dream that you had so long ago
That lives in all of the hearts of people
That believe in unity
We'll make the dream become a reality
I know we will
Because our hearts tell us so

Happy birthday
Happy birthday
Happy birthday
...",Soul/R&B
3,Stevie Wonder,http://www.songlyrics.com/stevie-wonder/you-are-the-sunshine-of-my-life-lyrics/,"You are the sunshine of my life
That's why I'll always be around
You are the apple of my eye
Forever you'll stay in my heart

I feel like this is the beginning
Though I've loved you for a million years
And if I thought our love was ending
I'd find myself drowning in my own tears

You are the sunshine of my life, yeah
That's why I'll always stay around, yeah, yeah
You are the apple of my eye
Forever you'll stay in my heart

You must have known that I was lonely
Because you came to my rescue
And I know that this must be Heaven
How could so much love be inside of you?

You are the sunshine of my life, yeah
That's why I'll always stay around
You are the apple of my eye
Forever you'll stay in my heart, yeah

You are the sunshine of my life, baby
That's why I'll always stay around",Soul/R&B
4,Stevie Wonder,http://www.songlyrics.com/stevie-wonder/overjoyed-lyrics/,"Over time, I've been building my castle of love
Just for two, though you never knew you were my reason
I've gone much too far for you now to say
That I've got to throw my castle away

Over dreams, I have picked out a perfect come true
Though you never knew it was of you I've been dreaming
The sandman has come from too far away
For you to say come back some other day

And though you don't believe that they do
They do come true, for did my dreams come true when I looked at you
And maybe too if you would believe
You too might be overjoyed, over loved, over me

Over hearts, I have painfully turned every stone
Just to find, I had found what I've searched to discover
I've come much too far for me now to find
The love that I've sought can never be mine

And though you don't believe that they do
They do come true, for did my dreams come true when I looked at you
And maybe too, if you would believe
You too might be overjoyed, over loved, over me

And though the odds say improbable
What do they know for in romance all true love needs is a chance
And maybe with a chance you will find
You too like I, overjoyed, over loved, over you, over you",Soul/R&B
5,Stevie Wonder,http://www.songlyrics.com/stevie-wonder/you-and-i-lyrics/,"Here we are on earth together, it's you and I
God has made us fall in love, it's true
I've really found someone like you

Will it say the love you feel for me, will it say
That you will be by my side
To see me through until my life is through

Well, in my mind, we can conquer the world
In love you and I, you and I, you and I

I am glad at least in my life I found someone
That may not be here forever to see me through
But I found strength in you

I only pray that I have shown you a brighter day
Because that's all that I am living for, you see
Don't worry what happens to me

'Cause in my mind, you will stay here always
In love, you and I, you and I, you and I, you and I
In my mind we can conquer the world
In love, you and I, you and I, you and I, you and I",Soul/R&B
6,Stevie Wonder,http://www.songlyrics.com/stevie-wonder/i-wish-lyrics/,"Looking back on when I
Was a little nappy headed boy
Then my only worry
Was for Christmas what would be my toy
Even though we sometimes
Would not get a thing
We were happy with the
Joy the day would bring

Sneaking out the back door
To hang out with those hoodlum friends of mine
Greeted at the back door
With boy thought I told you not to go outside
Tryin' your best to bring the
Water to your eyes
Thinkin' it might stop her
From woopin' your behind

I wish those days could come back once more
Why did those days ev-er have to go
I wish those days could come back once more
Why did those days ev-er have to go
Cause I love them so

Brother says he's tellin'
'Bout you playin' doctor with that girl
Just don't tell I'll give you
Anything you want in this whole wide world
Mama gives you money for Sunday school
You trade yours for candy after church is through

Smokin' cigarettes and writing something nasty on the wall (you nasty boy)
Teacher sends you to the principal's office down the hall
You grow up and learn that kinda thing ain't right
But while you were doing it-it sure felt outta sight

I wish those days could come back once more
Why did those days ev-er have to go
I wish those days could come back once more
Why did those days ev-er have to go",Soul/R&B
7,Stevie Wonder,http://www.songlyrics.com/stevie-wonder/all-i-do-lyrics/,"You made my soul a burning fire
You're getting to be my one desire
You're getting to be all that matters to me
And let me tell you girl, I hope and pray each day I live
A little more love I'll have to give
A little more love that's devoted and true
'Cause all I do is think about you

All I do
Oh baby
Is think about you
I think about you baby
All I do
Mmm
Is think about you

Baby just suppose I should happen to cross your mind
And by some chance, a boy like me you're really been trying to find
Well let me tell you girl, think of how exciting it would be
If you should discover you feel like me
If you should discover this dream is for two

We'll I'm gonna tell you girl, I'd light a candle every day
And pray that you'll always feel this way
And pray that our love will forever be new
'Cause all I do is think about you

All I do
Oh baby
Is think about you
I think about you
All I do
Yeah, baby
Is think about you

Gonna tell you girl, I'd light a candle every day
And pray that you'll always feel this way
And pray that our love will forever be new
I'm gonna tell you girl, if I cannot have you for my own
I'd rather be lonely and all alone
I'd rather keep thinking the way that I do
'Cause all I do is think about you

All I do
Oh baby
Is think about you
Think about you, baby
All I do
Ooh oh, baby

Is think about you
I think about you baby
All I do
Yeah baby
Is think about you
Think about you baby

All I do
Baby, baby, baby, baby, baby
Is think about you
All I do is think about you baby
All I do is think about you
I think about you  baby
All I do,
Yeah, yeah
Is think about you
Oh baby, baby, baby

I'm thinking baby, 'bout you baby
I'm thinking baby, 'bout you baby
I'm thinking baby, give it to me baby
I'm thinking baby, 'bout you baby
Yeah, yeah, yeah, yeah, yeah, yeah, yeah get on down

All I do
Gotta get on down
Is think about you
Whoa, get on down
All I do
All I do is think about you baby
Is think about you
I think about you baby

All I do
Oh baby
Is think about you
Can't you feel, can't you feel, can't you feel the fire burning?
All I do
Can't you feel the birds humming?
Is think about you
Think about you baby
Oh oh

All I do
Can't you feel my love flowing?
Can't you see my love growing?
Is think about you
Oh
All I do is think about you",Soul/R&B
8,Stevie Wonder,http://www.songlyrics.com/stevie-wonder/another-star-lyrics/,"La la la la la la lala la
La la la la la la lala la
La la la la la la lala la
La la la la la la lala la

For you there might be another star
But through my eyes the light of you it's all I see
For you there might be another song
But all my heart can hear is your melody

So long ago my heart without demanding
Informed me that no other love could do
But listen did I not though understanding
Fell in love with one who would break my heart in two

For you love might bring a toast of wine
But which each sparkle know the best for you I pray
For you love might be for you to find
But I will celebrate our love of yesterday

So long ago my heart without demanding
Informed me that no other love could do
But listen did I not though understanding
Fell in love with one who would break my heart in two

For you there might be another star
But through my eyes the light of you it's all I see
For you there might be another song
But in my heart your melody will stay with me

La la la la la la lala la
La la la la la la lala la
La la la la la la lala la
La la la la la la lala la
...",Soul/R&B
9,Stevie Wonder,http://www.songlyrics.com/stevie-wonder/living-for-the-city-lyrics/,"A boy is born
In hard time Mississippi
Surrounded by four walls
That ain't so pretty

His parents give
Him love and affection
To keep him strong
Moving in the right direction

Living just enough
Just enough for the city, ee ha

His father works
Some days for fourteen hours
And you can bet
He barely makes a dollar

His mother goes
To scrub the floors for many
And you'd best believe
She hardly gets a penny

Living just enough
Just enough for the city, yeah

His sister's black
But she is sho'nuff pretty
Her skirt is short
But Lord, her legs are sturdy

To walk to school
She's got to get up early
Her clothes are old
But never are they dirty

Living just enough
Just enough for the city, um hum

Her brother's smart
He's got more sense than many
His patience's long
But soon he won't have any

To find a job
Is like a haystack needle
'Cause where he lives
They don't use colored people

Living just enough
Just enough for the city

Living just enough for the city, ohh
Living just enough for the city, ohh
Living just enough for the city, ohh

His hair is long
His feet are hard and gritty
He spends his life walking
The streets of New York City

He's almost dead
From breathing in air pollution
He tried to vote
But to him there's no solution

Living just enough
Just enough for the city
Yeah, yeah, yeah

I hope you hear
Inside my voice of sorrow
And that it motivates you
To make a better tomorrow

This place is cruel
No where could be much colder
If we don't change
The world will soon be over

Living just enough
Stop giving
Just enough for the city",Soul/R&B
